Titre,Album,Année,Durée,Paroles,Compositeur,Auteur
L'instant X,Anamorphosée,1995,"4,45","Bloody lundi
mais qu'est-ce qui
nous englue la planète
et embrume ma comète
c'est
la loi des séries
le styx
les ennuis s'amoncellent
j'ai un teint de poubelle
mais
c'est l'instant X
qu'on attend comme le messie
comme l'instant magique
c'est l'équation
l'ax + b qui fait tilt
mais pour l'heure, dis

Papa Noël quand tu descendras du ciel
du fun, du zoprack et des ailes
l'an 2000 sera spirituel
c'est écrit dans ELLE
du fun pour une fin de siècle

humeur killer
c'est l'heure pour
moi de prendre la pose
de penser à aut'chose
c'est
le cycle infernal
fatal
un rien devient l'Everest
mon chat qui s'défenêstre
à
à quand l'instant X
qu'on attend comme le messie
comme l'instant magique
c'est l'hécatombe
vernis qui craque
asphyxie
pied dans la tombe

Papa Noël quand tu descendras du ciel
du fun, du zoprack et des ailes
l'an 2000 sera spirituel
c'est écrit dans "" ELLE ""
du fun pour une fin de siècle",Laurent Boutonnat,Mylène
Eaunanisme,Anamorphosée,1995,"5,08","J'irai lui dire
La pâleur de ses yeux
Qu'ils avaient
La profondeur de nos cieux
Je sais qu'elle marche
Sans savoir qui elle est
Que c'est les jambes
D'une autre qui la portait
Je l'entend murmurer

Océan d'ambre
Mélange, mélange moi
A tes légendes
Mets l'ancre, l'ancre en moi
C'est si doux la brûlure
Là où ta main me touche, Eau
Et coule cette écume
De ma bouche

J'irai lui dire
Que son coeur s'est fatigué
De vous
J'irai lui dire
Que de l'homme elle s'est lassée
De tout
Que sa vie rare
Est cachée dans le velours... de l'immensité
Qu'il est trop tard pour l'aimer
Elle s'est dissoute... dans l'éternité, Eau

Océan d'ambre
Mélange, mélange-moi
A tes légendes
Mets l'ancre, l'ancre en moi
C'est si doux la brûlure
Là où ta main me touche, Eau
Et coule cette écume
De ma bouche",Laurent Boutonnat,Mylène
Et tournoie...,Anamorphosée,1995,"4,27","J'perçois tes funérailles
Cerveau en bataille
Tu te veux liquide
Pantin translucide
Mais tu n'pourras rien changer
Côté sombre, c'est mon ombre
Dissout dans l'éternité
Et l'astre est de cendre

Ton fantôme intérieur
Affronte tes heures
Assassin blotti
Ton pire ennemi
Tu veux t'expulser de toi
Mais ta vie, fait envie
Ton fil tu l'aimes déjà
Et l'astre s'élève
Oh...

Mets ton âme de lumière
Et tournoie et tournoie
Mets ton habit de mystère
Et tournoie et tournoie
Sous ton âme la plainte amère
Panse la, donne la
Mets ton âme de lumière

Dedans tout n'est que faille
Ton coeur de cristal
Se brise au moindre éclat
De rire et de larmes
Aux morts qu'importe les dés
Le soleil, ton emblème
Ne te sera dérobé
Que pour l'éternel
Oh...

Mets ton âme de lumière
Et tournoie et tournoie
Mets ton habit de mystère
Et tournoie et tournoie
Sous ton âme la plainte amère
Panse la, donne la
Mets ton âme de lumière",Laurent Boutonnat,Mylène
XXL,Anamorphosée,1995,"4,25","Qu'on soit des filles de
Cocktails, belles
Qu'on soit des filles des
Fleurs de poubelles
Toutes les mêmes
Qu'on soit des croissants de lune
Qu'on soit des monts de Saturne
Pour l'I.V.G. ou en bulle
Nous on a

On a besoin d'amour
On a besoin d'amour
Besoin d'un amour XXL
On veut de l'amour XXL

Qu'on soit des filles de
L'histoire, rares
Qu'on soit des filles des
Fleurs de trottoirs
C'est comme ça
Qu'on soit Paul en Pauline
Faire la Une des magazines
Négatives ou positives
Toutes les filles

Elles ont besoin d'amour
On a besoin d'amour
Besoin d'un amour XXL
On veut de l'amour XXL

On a besoin d'amour
Besoin d'une flamme
Et de vague à l'âme
On a besoin d'amour
Besoin d'un regard
De peau et de larmes
Besoin d'un amour XXL
Besoin d'une flamme
Et de vague à l'âme
On veut de l'amour XXL
Besoin d'un regard
De peau et de larmes",Laurent Boutonnat,Mylène
Rêver,Anamorphosée,1995,"5,21","D'avoir mis son âme dans tes mains
Tu l'as froissé comme un chagrin
Et d'avoir condamné vos différences
Nous ne marcherons plus ensemble

Sa vie ne bat plus que d'une aile
Dansent les flammes, les bras se lèvent
Là où il va il fait un froid mortel
Si l'homme ne change de ciel
Pourtant j'ai rêvé...

J'ai rêvé qu'on pouvait s'aimer
Au souffle du vent
S'élevait l'âme l'humanité
Son manteau de sang
J'irai cracher sur vos tombeaux
N'est pas le vrai n'est pas le beau
J'ai rêvé qu'on pouvait s'aimer

A quoi bon abattre des murs
Pour y dresser des sépultures
A force d'ignorer la tolérance
Nous ne marcherons plus ensemble

Les anges sont las de nous veiller
Nous laissent comme un monde avorté
Suspendu pour l'éternité
Le monde comme une pendule
Qui s'est arrêtée

J'ai rêvé qu'on pouvait s'aimer
Au souffle du vent
S'élevait l'âme l'humanité
Son manteau de sang
J'irai cracher sur vos tombeaux
N'est pas le vrai n'est pas le beau
J'ai rêvé qu'on pouvait s'aimer

J'ai rêvé qu'on pouvait s'aimer
J'avais rêvé du mot AIMER",Laurent Boutonnat,Mylène
Alice,Anamorphosée,1995,"5,2","Mon Alice, Alice
Araignée maltèque
Mon Alice, Alice
Arachnée hichtek
Mon Alice, Alice
Pendue au bout de son fil
Dépressive l'artiste
Exit, exit

Dans ta boite
Toutes tes pattes
Le black-out
Petite âme

Comme tu me manques
Comme tu me manques
Comme tu me manques
L'araignée ",Laurent Boutonnat,Mylène
Comme j'ai mal,Anamorphosée,1995,"3,52","je bascule à l'horizontal
démissionne ma vie verticale
ma pensée se fige animale
abandon du moi
plus d'émoi
je ressens ce qui nous sépare
me confie au gré du hasard
je vis hors de moi et je pars
à mille saisons, mille étoiles

comme j'ai mal
je n'verrai plus comme j'ai mal
je n'saurai plus comme j'ai mal
je serai l'eau des nuages
je te laisse parce que je t'aime
je m'abîme d'être moi-même
avant que le vent nous sème
à tous vents, je prends un nouveau départ

plus de centre tout m'est égal
je m'éloigne du monde brutal
ma mémoire se fond dans l'espace
ode à la raison
qui s'efface
je ressens ce qui nous sépare
me confie au gré du hasard
je vis hors de moi et je pars
à mille saisons, mille étoiles",Laurent Boutonnat,Mylène
Tomber 7 fois,Anamorphosée,1995,"4,47","Hey
Faire les 400 coups
Se prendre des coups
Plutôt que le tiède
Ceux
Qui ont peur sont debout
Les autres dorment mou
Se battre pour ses rêves

Qu'on nous enseigne
(Never explain)
Qu'on nous assène
(Never complain)
Et c'est un peuple qui se soulève

Mais toujours vouloir pour soi
La lune, la lune
Même pour un nirvana
De fortune, la lune
Et si tu tombes 7 fois
Et si tu tombes 7 fois
Toujours se relever 8

Hey
Faire des noeuds magique
Au temps élastique
Rester éveillé
(Pas faire les choses à moitié)
Mieux
(Même si le prix à payer)
Vaut être atypique
(Même si l'on vous tire vers le bas)
Vertébrés excentriques
Qu'on fossile usé

Qu'on nous enseigne
(Never explain)
Qu'on nous assène
(Never complain)
Et c'est un peuple qui se soulève ",Mylène,Mylène
Laisse le vent emporter tout,Anamorphosée,1995,"3,59","Mais tout ce qui s'est passé
Glisse à côté
Comme l'eau sur les joues
Rester comme ça attaché
Quand l'autre a quitté

Et tous ces mots qu'on a dit
Mots qu'on a fuit
Où sont ils allés
Rester comme ça attaché
Ne peut rien changer
Alors va

Je laisse le vent emporter tout
Laisse le vent prendre soin de tout
Je laisse le vent emporter tout
Laisse le vent prendre soin de tout

Je t'ai rêvé homme sans pied
Dieu ou névé
Ou comme un bruit doux
Là j'irai bien te chercher
J'ai tellement changé

Mais tout ce qui s'est passé
Glisse à côté
Comme l'eau sur les joues
Quand je t'ai pris par la main
C'était un matin
Bien

Je laisse le vent emporter tout
Laisse le vent prendre soin de tout
Je laisse le vent emporter tout
Laisse le vent prendre soin de nous",Laurent Boutonnat,Mylène
Puisque,Single,1988,"4,14","Puisque je vais vous quitter ce soir
Puisque vous voulez ma vie
Je l'ai compris
Puisque ma vie n'est qu'un long sursis
Je veux un nouveau berceau le paradis

Lasse je m'efface
Lasse je m'efface

Si nous n'avons plus rien à nous dire
Sans rougir je peux l'écrire
Je vous aimais
Puisque plus rien ne peut me blesser
Aux gens qui ne savent aimer je vais sourire

Lasse je m'efface
Lasse je m'efface",Laurent Boutonnat,Mylène
Dernier sourire,Single,1989,"5,08","Sentir ton corps,
Tout ton être qui se tord,
Souriant de douleur,
Sentir ton heure,
Poindre au coeur d'une chambre
Qui bannit le mot tendre,
Sentir ta foi,
Qui se dérobe à chaque fois
Que tu sembles comprendre,
Parles moi encore...
Si tu t'endors,
Si c'est ton souhait,
Je peux t'accompagner...

Qui te condamne ?
Au nom de qui ?
Mais qui s'acharne à souffler tes bougies ?
Est-ce te mentir ?
Est-ce te trahir ?
Si je t'invente des lendemains qui chantent...
Vois-tu le noir de ce tunnel ?
Sais-tu l'espoir quand jaillit la lumière ?
Ton souvenir ne cessera jamais
De remuer le (la) couteau dans mon (ma) plaie",Laurent Boutonnat,Mylène
A quoi je sers,Single,1989,"4,34","Poussière vivante, je cherche en vain ma voie lactée
Dans ma tourmente, je n'ai trouvé qu'un mausolée
Et je divague
J'ai peur du vide
Je tourne des pages
Mais... des pages vides

Poussière errante, je n'ai pas su me diriger
Chaque heure demande pour qui, pour quoi, se redresser
Et je divague,
J'ai peur du vide
Pourquoi ces larmes
Dis... à quoi bon vivre...

Mais mon Dieu de quoi j'ai l'air
Je sers à rien du tout
Et qui peut dire dans cet enfer
Ce qu'on attend de nous, j'avoue
Ne plus savoir à quoi je sers
Sans doute à rien du tout
A présent je peux me taire
Si tout devient dégoût

Poussière brûlante, la fièvre a eu raison de moi
Je ris sans rire, je vis, je fais n'importe quoi
Et je divague
J'ai peur du vide
Je tourne des pages
Mais... des pages vides

Mais mon Dieu de quoi j'ai l'air
Je sers à rien du tout
Et qui peut dire dans cet enfer
Ce qu'on attend de nous, j'avoue
Ne plus savoir à quoi je sers
Sans doute à rien du tout
A présent je peux me taire
Si tout devient dégoût...",Laurent Boutonnat,Mylène
La veuve noire,Single,1989,"4,15","Vois cette veuve noire
Tu l'as aimée
Pauvre amoureux d'un soir de mai
Vois cette dame noire
L'heure à sonner
Tu périras ce soir de mai

Vois cette toile noire
C'est ton linceul
Tu reposeras ce soir de mai
Quand l'araignée d'un soir
D'un long baiser
Enivre vos espoirs
Trop tard... ",Laurent Boutonnat,Mylène
Que mon coeur lâche,Single,1992,"4,04","Bien trop brutal
L'amalgame
La danse des corps
L'amour à mort

Amour poison
Collision
La peur s'abat
Sur nos ébats

Toi entre nous
Caoutchouc
Tu t'insinues
Dans nos amours

C'est pas facile
Le plaisir
Apprivoiser
Ton corps glacé

Que mon coeur lâche
Mes rêves d'amours excentriques
N'ont plus leur strass
Mon stress d'amour est si triste
Que mon coeur lâche
Mais fais moi mal
Abuse des liens et des lys
Les temps sont lâches
L'amour a mal
Les temps sont amour plastique

Quel mauvais ange
Se dérange
Pour crucifier
Mes libertés

Moi pauvre diable
J'ai si mal
Vertige d'amour, amour blessé",Laurent Boutonnat,Mylène
"L'histoire d'une fée, c'est...",Single,2001,"4,55","Trois p'tits tours et silence !
C'est ça qui m'affecte
Quand on m'aime, je danse
Quand on veut, j'apparais
Trois p'tits tours et silence !
J'suis pas en latex
Quand on m'oublie, le sens
De ma vie disparaît

Faire un voeu ou bien deux
Et puis fermer les yeux
(je suis là)
Pour celui, et pour ceux
Qui n'ont pas froid aux yeux
(qui croient en moi)
Faire un souhait pour de vrai
Et puis croire au mystère
(tout est là)
C'est un style, c'est facile
Quand on est Mélusine / Oh vite dépêche-toi

Avant que tout s'éveille
Attrapez-moi
Mais pas le bout des ailes
Une fée c'est fragile parfois
Avant que minuit ne vienne
Attrapez-moi
Jeux de mains, jeux de M
Emoi

Trois p'tits tours et silence !
C'est ça qui me choque
Quand ma peine est immense
Je change l'or en toc
Trois p'tits tours de passe passe
Moi j'en ai des stocks...
Si ma baguette casse
Que le grand crick me croque

Faire un voeu ou bien deux
Et puis fermer les yeux
(je suis là)
Pour celui, et pour ceux
Qui n'ont pas froid aux yeux
(qui croient en moi)
Faire un souhait pour de vrai
Et puis croire au mystère
(tout est là)
C'est un style, c'est facile
Quand on est Mélusine / Oh vite dépêche-toi

Monday, Tuesday, Wednesday, Thursday, 
Friday, Saturday, Sunday

 Avant que tout s'éveille
Attrapez-moi
Et voir mes étincelles
Une fée c'est magique en soi
Avant que minuit ne vienne
Attrapez-moi
Jeux de mains, jeux de M
Emoi",Laurent Boutonnat,Mylène
Effets secondaires,Single,1999,"3,5","1 heure...
2 heures... pas dormir il ne 'faut pas dormir
3 heures... point dormir
4 heures... pour vivre heureux vivons cachés
5 heures... vivons cachés
6 heures... effets non souhaités et gênants
7 heures... gare à l'ataxie ! Ah bon ?
8 heures... il n'y a pas d'ataxie
9 heures... il n'y a pas d'ataxie, il n'y a pas d'ataxie
10 heures... il n'y a pas d'ataxie, il n'y a pas d'ataxie
11 heures... il n'y a pas il n'y a pas
12 heures...

Tous les effets secondaires sont dits
Tous les effets de Krueger sont ici
Tous les effets secondaires maudits
Tous les méfaits de Krueger sont la nuit

4 heures… les musées sont pornographiques
5 heures… une vision pharmaceutique
6 heures… mon idéal ? C'est d'aimer avec horreur
7 heures… un précipice entre vous et moi
8 heures… est-ce qu'on en voit jamais le bout ? Non répondent mes yeux.
9 heures... seulement quand on est au bout ! Ah bon ?
10 heures… pas dormir il n'faut pas dormir faut pas dormir
11 heures…
12 heures… il n'y a pas d'ataxie il n'y a pas d'ataxie il n'y a pas d'ataxie
1 heure… il n'y a pas d'atatxie
2 heures…
3 heures…
4 heures… en cas de doute demandez l'avis de votre médecin
5 heures… confusion mentale troubles psychiques
6 heures… ah bon ? 1 2 3 nous irons au bois
7 heures… 4 5 profondeur
8 heures… tous les effets secondaires
9 heures… sont dis Accélération du rythme cardiaque
10 heures… tous les effets de Krueger Mauvaise coordination des mouvements
11 heures... sont ici Attention !
12 heures… tous les effets secondaires
1 heure... maudits y a l'plafond qui m'regarde !
2 heures… tous les méfaits de Krueger Un faux-plafond un mensonge
3 heures... sont la nuit Je mets de faux cils à leurs yeux
4 heures…pour un regard plus profond… ",Laurent Boutonnat,Mylène
Les mots,Single,2001,"4,51","Fixement, le ciel se tord
Quand la bouche engendre un mort
Là je donnerai ma vie pour t'entendre
Te dire les mots les plus tendres
When all becomes all alone
I'll break my life for a song
And to lives that stoop to notice mine
I know I will say goodbye
But a fraction of this life
I would give anything, anytime

L'univers a ses mystères
Les mots sont nos vies
You could kill a life with words
Soul, how would it feel
Si nos vies sont si fragiles
Words are mysteries
Les mots des sentiments
Les mots d'amour, un temple

If one swept the world away
One could touch the universe
I will tell you how the sun rose, how
We could with a word become one
Et pour tous ces mots qui blessent
Il y a ceux qui nous caressent
Qui illuminent, qui touchent l'infini
Même si le néant existe
For a fraction of this life, we
Will give anything, anytime

L'univers a ses mystères
Les mots sont nos vies
You could kill a life with words
Soul, how would it feel
Si nos vies sont si fragiles
Words are mysteries
Les mots des sentiments
Les mots d'amour, un temple",Laurent Boutonnat,Mylène
Pardonne-moi,Single,2002,"4,3","Pardonne-moi
Si la douleur remue tout
Qu'elle me broie
De t'aimer comme un fou
Que tu n'es pas
Pardonne-moi
Pardonne-moi
La profondeur de mon amour
Pour toi
Si c'est du sang qui coule
Au fond de moi
Pardonne-la

Prince hongrois
Nos chaque jour :
... Il était une fois
Des vœux d'amour
Quand il montait chez moi
La première fois...

Prince hindou
Je l'imagine encore
Au creux de moi
Je veux plonger dans son cœur,
Et sa voix
Me dit tout bas...

Prince arabe
Tes silences effleuraient
Du bout des doigts
Tous mes sens, aurons-nous
Un autrefois ?
Reste chez moi

Prince Aurore
Où en es-tu
De ces pulsions de mort ?
Qu'avons nous fait de bien
après l'effort
Deux corps, un sort

Prince hongrois
L'on descend de l'autre
Coté du monde
Parcourir l'étoile
A chaque seconde
Partager l'ombre

Prince noir
Délivre-moi de mon sang,
D'un espoir
Car en moi guette un silence
Sans fard
Un nulle part",Laurent Boutonnat,Mylène
Du temps,Single,2012,"3,38","Du temps
Du temps
Du temps
Il te faut
Du temps
Du temps
Du temps
Non Non Non

Suppose que je te dise
L'amour en est la cause
Que nos chemins de vie
Parfois nous superposent
C'est le mien
J'm'en fous
Mon chagrin
C'est tout
L'antidote au pire
Woh Oh Oh Oh
L'anti pas mourir
Woh Oh Oh Oh

Refrain
Moi je veux vivre
Aller haut
Pouvoir me dire
Que c'est beau
Mais pas
Du temps
Du temps
Du temps
Il te faut
Du temps
Du temps
Du temps
Non Non Non

Suppose que je te dise
Qu'au fond de moi sommeille
Un continent de vie
De démons et merveilles
C'est le mien
Mais vous ?
Mon destin
S'enroule
Autour de tes reins
Woh Oh Oh Oh
Amour je sens bien
Woh Oh Oh Oh Oh

Moi je veux vivre
Aller haut
Pouvoir me dire
Que c'est beau
Mais pas
Du temps
Du temps
Du temps
Il te faut
Du temps
Du temps
Du temps
Non Non Non

Moi je veux vivre
Aller haut
Pouvoir me dire
Que c'est beau
Mais pas
Du temps
Du temps
Du temps
Il te faut
Du temps
Du temps
Du temps
Non Non Non",Laurent Boutonnat,Mylène
L'âme dans l'eau,Single,2020,"3,06","L’AIR EST LOURD DE TON ABSENCE
L’AIR EST SOURD À NOS SENTIMENTS
L’AIR EST COURT ET MON MANQUE DE TOI
TOI MON AUTRE MOI, TU VOIS
J’AI L’ÂME DANS L’EAU

SI LES SONGES ONT DES PORTES
QU’ILS ME MÈNENT, LÀ À TES COTÉS
L’ONDE NOIRE J’AI DÛ TRAVERSER
OH DOULEUR, CAR NUL NE SAIT
J’AI L’AME DANS L’EAU

BENI SOIT MON REFUGE
BENI SOIT L’OR DE MA MAISON
DOUX LE SOUFFLE, NOS MAINS QUI S’EFFLEURENT
J’AI L’AME DANS L’EAU
J’AI L’ÂME DANS L’EAU

L’AIR EST LOURD DE TON ABSENCE
L’AIR EST SOURD À MES SENTIMENTS
L’ANGE AU CIEL MURMURE UN « JE T’AIME »
DANS UN ULTIME ESSENTIEL
J’AI L’ÂME DANS L’EAU

J’AI L’ÂME DANS L’EAU
J’AI L’ÂME DANS L’EAU

J’AI L’AME DANS L’EAU
J’AI L’AME DANS L’EAU
J’AI L’AME DANS L’EAU
J’AI L’AME DANS L’EAU

L’AIR EST LOURD DE TON ABSENCE
L’AIR EST SOURD À NOS SENTIMENTS
L’AIR, AMOUR, ME MANQUE PARFOIS
JE VOIS L’AUBE QUI SE NOIE
J’AI L’ÂME DANS L’EAU

MAIS LES SONGES ONT DES PORTES
QUI ME MÈNENT LÀ OÛ J’AVAIS PIED
DESESPOIR, LE PRÉSENT L’EMPORTE
FAUT-IL CROIRE QUE JE SUIS MORTE
J’AI L’AME DANS L’EAU

BENI SOIT TA PRÉSENCE
BENI SOIT L’OR DE TOUS LES MONDES

J’AI L’AME DANS L’EAU
J’AI L’ÂME DANS L’EAU

L’AIR EST LOURD DE TON ABSENCE
L’AIR EST SOURD À NOS SENTIMENTS
L’AIR EST COURT ET MON MANQUE DE TOI
TOI MON AUTRE MOI, TU VOIS
J’AI L’ÂME DANS L’EAU ","Jonathan Burr, Adam Richardson",Mylène
C'est une belle journée,Single,2001,"4,16","Allongé le corps est mort
Pour des milliers
C'est un homme qui dort...
A moitié pleine est l'amphore
C'est à moitié vide
Qu'on la voit sans effort
Voir la vie, son côté pile
Oh philosophie
Dis-moi des élégies
Le bonheur
Lui me fait peur
D'avoir tant d'envies
Moi j'ai un souffle au coeur
Aussi

C'est une belle journée
Je vais me coucher
Une si belle journée
Qui s'achève
Donne l'envie d'aimer
Mais je vais me coucher
Mordre l'éternité
A dents pleines
C'est une belle journée
Je vais me coucher
Une si belle journée
Souveraine
Donne l'envie de paix
Voir des anges à mes pieds
Mais je vais me coucher
M'faire la belle

Allongé le corps est mort
Pour des milliers
C'est un homme qui dort...
A moitié pleine est l'amphore
C'est à moitié vide
Que je la vois encore
Tout est dit puisqu'en amour
Si c'est du lourd
Si le coeur léger
Des élégies toujours
Les plaisirs, les longs, les courts
Vois-tu mon amour
Moi, j'ai le souffle court
Vois-tu

Belle
La vie est belle
Comme une aile
Qu'on ne doit froisser
Belle
La vie est belle
Et je vais là
Belle
La vie est belle
Mais la mienne
Un monde emporté
Elle, j'entre en elle
Et mortelle, va",Laurent Boutonnat,Mylène
Ghosts (How can I move on),Single,2022,"3,37","Now and then
My mind drifts to a place where I find you
Lost in my head
There are unsolved feelings that haunt me
It's too late to heal
I'll lay them to rest

How can I move on
When everyone I see still talks about you ?
How can I move on
When all the best things I have we made together ?
Here's to letting go
But I am lost in a void with your ghost and our memories
Lest we forget
The great reset

Si tu pouvais me dire
Cicatrisе
Mais mon ame n'a plus de peau

J'ai tant donnе
Pourtant je crois
A plus grand, plus fort que tout
Tu dis, c'est trop tard
Mais qu'as tu fait de moi ?

A chaque mot tu me donnes
L'envie d'aimer
Je suis
Sans vie, sans amour

A chaque mot, je pardonne
Pourtant, je dors sur la page
D'un livre, sans auteur

Tu es sous ma peau
Mais toi perdu dans le vide
Moi, fantome, la sur un fil
J'ai peur qu'on oublie
Tout ce qu'on etait

How can I sleep with this coldness beside me ?
How can I sleep with this coldness inside me ?
I know I can't bring back your love

How can I move on
When everyone I see still talks about you ?
How can I move on
When all the best things I have we made together ?
Here's to letting go
But I am lost in a void with your ghost and our memories
Lest we forget
The great reset",Matthew Bellamy,"Matthew Bellamy, Mylène"
L'amour naissant,Innamoramento,1999,"4,58","Quel monde n'a pas connu le souffle
Du néant
Ressenti l'émoi devant les ""Puissances
Du dedans"" dis
Quelle maison n'a jamais pleuré
Un enfant
Quel ange n'est tombé devant la beauté
Du couchant vois

Quel vertige s'empare de nos souffles
A présent
L'Anathème est lourd, les serments brûlants
C'est troublant, dis
Quelle est celle qui ne s'est noyée
Dans ses larmes
L'océan a froid, ma vie comme la
Fille de Ryan

Tu es l'amour naissant
Gravé sur la pierre,
Stèle des amants
Vois comme c'est lourd, c'est lent
C'est un revolver, Père
Trop puissant

Quelle Irlande voudrait oublier
Ses légendes
Je ressens l'émoi devant ses ""Puissances
Du dedans"" dis
Quel frisson de m'anéantir
Dans son ventre
L'océan a froid, ma vie comme la
Fille de Ryan

Tu es l'amour naissant
Gravé sur la pierre,
Stèle des amants
Vois comme c'est lourd, c'est lent
C'est un revolver, père
Trop puissant ",Laurent Boutonnat,Mylène
L'âme-stram-gram,Innamoramento,1999,"4,24","En moi, en moi toi que j'aime,
dis-moi, dis-moi quand ça n 'va pas,
il n'y a que ça qui nous gouverne,
dis-moi combien de fois ?

Partager mon ennui le plus Abyssal,
au premier venu qui trouvera ça banal...
J'ouïs tout ce que tu confesses,
et l'essaim scande l'ivresse
j'ouïs tous ceux que tu condamnes,
t'éreintent, te font du charme :
C'est ""l'Âme-stram-gram""

En moi, en moi toi que j'aime,
dis-moi, dis-moi quand ça n 'va pas,
il n'y a que ça qui nous gouverne,
dis-moi combien de fois...
En moi, en moi, toi que j'aime,
dis-moi, dis-moi quand ça n'va pas,
immisce et glisse l'abdomen
dans l'orifice à moi...

Des absents, un Bourdon, une oreille amie,
confidences sur divan, on se psychanalyse...
J'ouïs tout ce que tu susurres,
et l'essaim bat la mesure,
j'ouïs tes oedipes complexes,
et l'essaim se manifeste :
C'est ""l'Âme-stram-gram""...

Âme-stram-gram,
pique et pique et colégram,
bourre et bourre et ratatam,
âme-stram-gram,
pique dame,
Âme-stram-gram, pique, pique-moi dans l'âme,
bourrée bourrée de nœuds mâles,
Âme-stram-gram pique dames",Laurent Boutonnat,Mylène
Pas le temps de vivre,Innamoramento,1999,"5,17","Il est des heures où
Les ombres se dissipent
La douleur se fige
Il est des heures où
Quand l'être s'invincible
La lèpre s'incline
Mais si j'avais pu voir qu'un jour
Je serai qui tu hantes
Qu'il me faudrait là ton souffle
Pour vaincre l'incertitude
Ecrouer ma solitude

Il est des heures où
Les notes se détachent
Les larmes s'effacent
Il est des heures où
Quand la lune est si pâle
L'être se monacale
Mais je erre comme une lumière
Que le vent a éteinte
Mes nuits n'ont plus de paupières
Pour soulager une à une
Mes peurs de n'être plus qu'une

Je n'ai pas le temps de vivre
Quand s'enfuit mon équilibre
Je n'ai pas le temps de vivre
Aime-moi entre en moi
Dis-moi les mots qui rendent ivres
Dis-moi que la nuit se déguise
Tu vois je suis comme la mer
Qui se retire de n'avoir pas
Su trouver tes pas

Il est des heures où
Mes pensées sont si faibles
Un marbre sans veines
Il est des heures où
L'on est plus de ce monde
L'ombre de son ombre
Dis de quelle clef ai-je besoin
Pour rencontrer ton astre
Il me faudrait là ta main
Pour étreindre une à une
Mes peurs de n'être plus qu'une",Mylène,Mylène
Dessine-moi un mouton,Innamoramento,1999,"4,38","Quelle solitude
De mourir
Sans certitude
D'être au moins

Une particule
De vie
Un point minuscule
Utile à quelqu'un

Quelle solitude
D'ignorer
Ce que les yeux
Ne peuvent pas voir

Le monde adulte
Isolé
Un monde abrupt
Et là, je broie du noir


Dessine-moi un mouton
Le ciel est vide sans imagination
C'est ça
Dessine-moi un mouton
Redevenir l'enfant que nous étions
Dessine-moi un mouton
Le monde est triste sans imagination
C'est ça
Dessine-moi un mouton
Apprivoiser l'absurdité du Monde


Quelle solitude
De se dire
Que la morsure
Du temps n'est rien

Le rêve est bulle
De vie
Un bien majuscule
Utile au chagrin

Déconfiture
Des pépins
Mais je veux croire
En l'au-delà

Et vivre est dur
Toujours un choix
Mais je jure
Que le mMonde est à moi

Il est à moi...
Il est à moi...
Il est à moi...
Il est à moi... Le Monde


Dessine-moi un mouton
Le ciel est vide sans imagination
C'est ça
Dessine-moi un mouton
Redevenir l'enfant que nous étions
Dessine-moi un mouton
Le monde est triste sans imagination
C'est ça
Dessine-moi un mouton
Apprivoiser l'absurdité du Monde",Laurent Boutonnat,Mylène
Je te rends ton amour,Innamoramento,1999,"5,12","M'extraire du cadre
Ma vie suspendue
Je rêvais mieux
Je voyais l'âtre
Tous ces inconnus
Toi parmi eux

Toile
Fibre qui suinte
Les meurtrissures
Tu voyais l'âme
Mais j'ai vu ta main
Choisir Gauguin

Et je te rends ton amour
Redeviens les contours
Je te rends ton amour
C'est mon dernier recours
Je te rends ton amour
Au moins pour toujours
Redeviens les contours
""La femme nue debout""

M'extraire du cadre
La vie étriquée
D'une écorchée
J'ai cru la fable
D'un mortel aimé
Tu m'as trompé

Toi
Tu m'as laissé
Me compromettre
Je serai ""l'Unique""
Pour des milliers d'yeux
un nu de maître

Et je te rends ton amour
Au moins pour toujours
Je te rends ton amour
Le mien est trop lourd
Et je te rends ton amour
C'est plus flagrant le jour
Ses couleurs se sont diluées
Et je reprends mon amour
Redeviens les contours
De mon seul maître : Egon Schiele et ...",Laurent Boutonnat,Mylène
